step,train_loss,val_loss,lr,grad_norm,elapsed_s,tokens
406,3.959309,,0.00292171,0.534809,896.9,1667072
407,3.894955,,0.00292110,0.419895,898.3,1671168
408,4.047581,,0.00292049,0.512941,899.8,1675264
409,3.918949,,0.00291988,0.498164,901.5,1679360
410,4.023504,,0.00291927,0.466233,903.1,1683456
411,4.059981,,0.00291865,0.441687,904.5,1687552
412,4.015294,,0.00291804,0.596838,906.0,1691648
413,4.036741,,0.00291742,0.423407,907.4,1695744
414,3.975504,,0.00291679,0.463645,908.9,1699840
415,4.039559,,0.00291617,0.457454,910.2,1703936
416,4.012543,,0.00291554,0.424657,911.7,1708032
417,3.978665,,0.00291491,0.418353,913.0,1712128
418,3.976331,,0.00291428,0.446855,914.5,1716224
419,3.986723,,0.00291365,0.454657,915.9,1720320
420,3.972147,,0.00291301,0.425032,917.5,1724416
421,3.939696,,0.00291237,0.433754,918.8,1728512
422,3.978699,,0.00291173,0.489940,920.4,1732608
423,4.067618,,0.00291109,0.430595,921.8,1736704
424,4.010692,,0.00291044,0.455954,923.3,1740800
425,3.978678,,0.00290979,0.522725,925.0,1744896
426,3.988174,,0.00290914,0.436745,926.5,1748992
427,4.067014,,0.00290849,0.507216,928.0,1753088
428,3.957385,,0.00290784,0.445265,929.5,1757184
429,3.990969,,0.00290718,0.430505,931.2,1761280
430,4.048177,,0.00290652,0.487562,932.6,1765376
431,3.946770,,0.00290586,0.558478,934.0,1769472
432,3.903940,,0.00290520,0.415790,935.3,1773568
433,3.978901,,0.00290453,0.463104,936.8,1777664
434,3.897014,,0.00290387,0.505637,938.4,1781760
435,3.855346,,0.00290320,0.409031,939.9,1785856
436,3.838195,,0.00290252,0.543167,941.3,1789952
437,4.054815,,0.00290185,0.411104,942.8,1794048
438,3.870978,,0.00290117,0.437443,944.9,1798144
439,3.951257,,0.00290049,0.432345,946.7,1802240
440,3.981716,,0.00289981,0.473699,948.6,1806336
441,4.002242,,0.00289913,0.449344,950.2,1810432
442,4.051510,,0.00289844,0.472268,951.7,1814528
443,3.954077,,0.00289775,0.433670,953.2,1818624
444,3.876733,,0.00289706,0.506917,954.7,1822720
445,3.994100,,0.00289637,0.463101,956.0,1826816
446,3.947153,,0.00289568,0.419780,957.4,1830912
447,3.989815,,0.00289498,0.424275,958.9,1835008
